Equipo;Fecha;Bloque;Ciclo;Hi;Hf;DMOV_CARGA_MEDIDA;N_Pinzadas;N_Trozas;Producto;Vol_i;VOL_TOT;TVVSC;TVVSL;TMOVCARGA;TPINZADA;TVCL;TVCSC;TDESCARGA;TPARADA;TRETORNO;DVVSC;DVVSL;DMOVCARGA;DPINZADA;DVCL;DVCSC;DDESCARGA;DPARADA;DRETORNO;TAE;Conc_trozas;Estado Verificacion;Comentario;Eficiencia;PEF;DE;DT_GIS;DM_GIS;DE_PL;fcd;pendiente
Ponsse BK;18/9/2019;Manana;9;16:12:40;16:32:43;;17;26;16 pie;0.384350678;9.993117619;0;133.4297917;163.2333332;243.7015835;0;0;169.7369167;361.8343333;;0;146.3662145;170.7812198;28.70753612;0;0;156.3049057;102.5883837;;710.1016251;;;;0.662447807;50.66207731;243.964327;413;206.5;66.8;3.091317365;41.79451213
Ponsse BK;18/9/2019;Manana;10;16:32:46;16:47:25;;17;25;16 pie;0.384350678;9.608766941;222.3745416;13.7006042;210.1782079;261.6446254;112.0517291;0;126.9400416;68.6919584;;126.6954266;10.44300251;178.2631831;29.52818663;130.0821907;0;24.95535319;8.857712806;;946.8897498;;;;0.932361958;36.53177257;311.873493;396;198;66.8;2.964071856;35.36017877
Ponsse BK;18/9/2019;Manana;11;16:47:25;16:56:08;;11;17;16 pie;0.384350678;6.53396152;0;108.2970001;109.1747289;191.9383544;32.0062084;0;80.8998541;0;;0;114.7050589;101.1655985;34.8284331;29.46933337;0;13.68609599;0;;522.3161459;;;;1;45.03452872;173.2527947;222;111;66.8;1.661676647;39.19069833
Ponsse BK;18/9/2019;Manana;12;16:56:10;17:09:43;;14;23;16 pie;0.384350678;8.840065586;36.4588334;65.6078333;129.7722082;204.3426877;75.8412291;0;149.8966458;146.28125;;39.67651592;83.54207665;195.5266815;19.04062389;0;0;33.14244244;39.71380341;;661.9194375;;;;0.819003804;48.07871518;257.1359778;280;140;66.8;2.095808383;48.45492963
Ponsse BK;18/9/2019;Manana;13;17:09:44;18:19:43;;23;79;12 pie;0.180782228;14.28179605;35.9253542;49.0498125;370.1785416;492.8786042;57.4862917;0;300.7002916;2818.428042;;51.68769534;1.745640091;337.6307803;39.58645138;57.62049894;0;7.124316562;2689.880896;;1306.218896;;;;0.316686232;39.36129384;393.1576975;2712;1356;66.8;;37.29412468
Ponsse BK;19/9/2019;manana;1;07:54:39;08:16:28;;25;68;12 pie;0.180782228;12.29319154;24.6803333;10.5663334;387.2155418;401.9863539;39.0739792;0;224.2357709;216.7674792;;23.55757718;11.64390745;345.5726958;29.30469698;25.89782451;0;37.14771316;271.4684573;;1087.758313;;;;0.833834271;40.68503915;376.1223504;809;404.5;111.7;3.621307073;35.16513304
Ponsse BK;19/9/2019;manana;2;08:16:30;08:51:37;;22;26;16 pie;0.384350678;9.993117619;54.7686042;145.3075625;216.9961042;294.6820623;0;31.687875;235.1712292;1102.871271;;69.50775546;169.951091;198.5947296;33.2152876;0;22.11325922;64.45164835;234.9161071;;978.6134374;;;;0.470151634;36.76142392;329.3807825;692;346;111.7;3.097582811;34.67282667
Ponsse BK;19/9/2019;manana;3;08:51:40;09:13:59;;15;31;12 pie;0.180782228;5.604249083;145.7924167;9.5215416;120.4693337;221.530833;100.8661667;0;169.8820207;605.7128959;;154.8156053;10.91295542;112.454489;27.60744721;103.5136932;0;57.03381391;87.21807781;;768.0623124;;;;0.559088785;26.26778631;247.0756159;347;173.5;111.7;1.553267681;28.8826813
Ponsse BK;19/9/2019;manana;4;09:14:01;09:23:34;;12;42;12 pie;0.180782228;7.592853596;0;21.4868543;136.6513334;203.5494166;80.1867499;15.0298335;118.7522707;0;;0;23.40132123;101.0555751;21.23822454;84.19207154;25.69889677;17.91865799;0;;575.6564584;;;;1;47.48365548;167.7017198;253;126.5;111.7;1.132497762;31.50042444
Ponsse BK;19/9/2019;manana;5;09:23:34;09:41:00;;23;81;12 pie;0.180782228;14.64336051;0;34.9616459;266.5974381;436.9763952;25.2208958;32.0713542;250.3816458;0;;0;31.79991276;192.0675678;62.58003455;16.34700459;30.80711089;44.58392516;0;;1046.209375;;;;1;50.38771309;231.544582;260;130;111.7;1.163831692;39.32440197
Ponsse BK;19/9/2019;manana;6;09:41:01;09:49:15;;10;27;12 pie;0.180782228;4.881120169;0;38.1504376;150.3192498;185.3978543;21.4577083;0;99.1758125;0;;0;43.52378089;150.9747233;23.08989359;17.47134511;0;24.00904041;0;;494.5010625;;;;1;35.53487331;181.4722863;202;101;111.7;0.904207699;41.12924887
Ponsse BK;19/9/2019;manana;7;09:49:16;09:52:37;;3;16;12 pie;0.180782228;2.892515656;10.4602918;0;33.8285418;66.9339373;26.2605208;0;62.0336667;0;;11.95647444;0;21.1857494;6.05812251;25.66832973;0;16.19976931;0;;199.5169584;;;;1;52.19133473;39.99815148;50;25;111.7;0.223813787;37.26762107
Ponsse BK;19/9/2019;manana;8;09:52:40;10:52:15;;19;27;16 pie;0.384350678;10.3774683;15.8601251;10.7953125;110.3288538;240.0358962;77.1103959;18.0458958;165.5027707;2942.743146;;12.71255867;19.01518756;141.1020814;24.56631431;117.4344276;25.20545197;35.3679202;1940.281758;;637.67925;;;;0.178101682;58.58570099;228.2858943;761;380.5;111.7;3.406445837;33.00736801
Ponsse BK;19/9/2019;manana;9;10:52:16;11:19:13;;26;36;16 pie;0.384350678;13.8366244;0;91.2797083;270.053979;340.5547501;0;493.7104793;313.6724999;109.399521;;0;139.5708164;248.5561351;43.3617127;0;122.5227693;30.01862792;830.7515663;;1509.271417;;;;0.932413983;33.00390326;379.602928;196;98;111.7;0.877350045;32.65593055
Ponsse BK;26/9/2019;Manana;1;08:58:25;09:25:15;;24;26;8 pie;0.160545999;4.174195984;0;77.6710416;649.5873959;301.074375;109.8931251;0;109.8931251;262.4048957;;0;60.51184169;679.6831088;49.58306997;148.4274105;0;45.21280748;39.35927545;;1248.119063;;;;0.826282202;12.03980132;784.1527349;330;165;104;1.586538462;32.28506189
Ponsse BK;26/9/2019;Manana;2;09:25:15;10:24:30;;21;63;12 pie;0.180782228;11.38928039;0;124.51175;499.0581876;384.7442291;111.9625416;0;111.9625416;2101.124417;;0;177.2119898;428.8580666;83.61700446;159.7611847;0;76.01444023;1214.460234;;1232.23925;;;;0.369668411;33.27390312;597.3446538;754;377;104;3.625;38.49882873
